"","review_dataset.text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","   high hopes   dress   wanted   work    initially ordered  petite small  usual size   found    outrageously small  small  fact     zip    reordered   petite medium       top half  comfortable  fit nicely   bottom half    tight  layer    cheap net  layers imo  major design flaw   net  layer sewn directly   zipper   ",0,1,0,0,1,2,0,4,5,4
"2"," love love love  jumpsuit  fun flirty  fabulous  time  wear      great compliments",0,2,0,0,2,0,0,1,1,2
"3"," shirt   flattering   due   adjustable front tie    perfect length  wear  leggings    sleeveless   pairs    cardigan love  shirt",0,1,0,0,3,0,0,2,1,3
"4"," love tracy reese dresses         petite      feet tall   wear     brand  dress   pretty    package    lot  dress  skirt  long   full   overwhelmed  small frame   stranger  alterations shortening  narrowing  skirt      embellishment   garment  love  color   idea   style      work    returned  dress",0,2,0,1,2,1,0,2,4,3
"5"," aded    basket  hte  mintue         person store pick     teh darkler color      pale  hte color   gorgeous  turns   mathced everythiing       prefectly     baggy    hte xs  hte msallet size bummer  petite  decided  jkeep        matvehd   ejans pants    skirts  waas         oops",1,1,1,0,1,0,0,0,1,3
"6"," ordered   carbon  store pick     ton  stuff         top  pair skirts  pants      color   nice charcoal  shimmer     pencil skirts flare pants    compaint     bit big sleeves  long   doesnt   petite   bit loose     xxs      wil ldecide    light color   sold   hte smallest size",0,3,0,0,0,0,0,1,0,3
"7"," love  dress     xs   runs   snug  bust   ordered   size  flattering  feminine   usual retailer flair  style",0,0,0,0,2,0,0,1,0,3
"8","im    lbs  ordered   petite  make   length wasnt  long  typically wear  xs regular  retailer dresses  youre  busty  cup  smaller   petite  fit  perfectly snug   tight  love    dress     party    work  love   tulle  longer   fabric underneath",0,1,0,0,1,0,0,1,1,1
"9","dress runs small esp   zipper area runs  ordered  sp  typically fits      tight  material   top   feels  cheap    pulling       rip  fabric pretty disappointed        christmas dress  year needless       back",2,2,1,0,1,1,0,2,4,2
"10","    find  reliant   reviews written  savvy shoppers       past       estimation   product   case   dressif       reveiwsi doubt        dress  beautifully made lined  reminiscent    retailer quality   lined   solid periwinklecolored fabric  matches  outer fabric print tts   formfitting falls    knee    rid",0,0,0,2,0,2,0,1,2,2
"11","bought  black xs     larkspur midi dress   didnt bother lining  skirt portion grrrrrrrrrrr",0,0,0,0,0,1,0,0,2,0
"12"," stats     xs fit  smoothly   chest   flowy   lower half      running big",0,0,0,0,0,1,0,0,1,0
"13"," straps   pretty    easily  nightwear ",0,1,0,0,1,0,0,1,0,1
"14","im         knees",0,0,0,0,0,0,0,0,0,0
"15","   nice choice  holiday gatherings     length grazes  knee    conservative   office related gatherings  size small fit        size    small bust   opinion  runs small    larger busts     size      waist    big  problem   dress   quality  fabrics  terrible  delicate netting type fabric   top layer  skirt  stuck   zip",1,2,2,2,1,2,1,3,4,3
"16","      package  wanted   fit  badly       put     wouldnt     hourglass figure    straight     waist    small   body shape     sized         tight   waist   roomy   hips         nice sturdy linenlike fabric pretty color  made  hope  make   happy",0,3,0,0,3,1,1,3,2,5
"17","material  color  nice   leg opening   large        length hits     ankle    leg opening  size   waist  hem line   ankle  front pleats  make  fluffy     imagine      flattering        average height  taller    good  ",0,1,0,0,2,0,1,1,0,2
"18","  chance   blouse   glad    wasnt crazy    blouse  photographed   model  paired  whit white pants   worked perfectly crisp  clean     describe  launders  fits great drape  perfect wear tucked       wrong",2,3,0,1,4,1,1,5,5,5
"19"," flattering super cozy coat   work   cold dry days    good  jeans   dressier outfit          small fits great",1,1,0,0,2,0,1,1,3,2
"20"," love    feel   tulle dress           top   years eve im small chested   top   dress  form fitting   flattering    steamed  tulle   perfect  ordered  xsp length  perfect ",0,3,0,0,4,0,0,3,1,5
"21","  product   petite     petite  regular    long     tailor    simple fix   ",0,1,0,0,0,0,0,0,0,0
"22","",0,0,0,0,0,0,0,0,0,0
"23","fits nicely im  lb  pregnant   bough  medium  grow  ",1,1,0,0,1,0,0,1,1,1
"24","",0,0,0,0,0,0,0,0,0,0
"25"," tie   front  back     nice flexibility  form fitting",0,1,0,0,1,0,0,1,0,2
"26","im upset    price   dress  thought   embroidered     print   fabric    cried     opened  box    ver pretty      true  size    tad bit big       tiny          color  vibrant  style  unique skirt portion  pretty poofy    back         price   quality         emb",1,2,0,0,1,1,1,1,1,2
"27","      pullover styling    side zipper  wouldnt  purchased    knew    side zipper     large bust  side zippers    impossible  ",0,0,0,0,0,1,0,0,1,0
"28","",0,0,0,0,0,0,0,0,0,0
"29","    tulle feels   cheap   slip   awkward tight shape underneath",0,0,0,0,0,0,1,0,2,1
"30","",0,0,0,0,0,0,0,0,0,0
"31","           sadly   returning  im    find   exchange  ",0,0,0,0,0,1,0,1,1,1
"32","cute  dress fits tts     high waisted good length    height    dress im    love    dont     feels cheap  appears   pictured",1,1,0,0,2,0,1,1,2,3
"33"," love  shirt        wasnt      shirt  dress    seethrough   wear    dress     slip  wear   leggings  bought  slip wore  tie   back  rocked   white wedges    wear    vest  careful   buttons  havent   fall     feel      great   occasion   fun  wear",0,2,0,0,3,1,1,2,3,4
"34","loved  material   didnt     long  dress    purchased   large   medium im     atleast   material   feet  gaps   front   wider    felt   dress  fell flat   returned im   large   med fit     jeans",0,1,0,0,0,1,0,0,1,0
"35","   waiting   sweater coat  ship  weeks     excited    arrive  coat   true  size  made   short  squat  sleeves   wide  long   light weight fall coat  sleeves dont     wide   wouldnt  layerng   underneath  buttons    moved    inches    nicer fit  thought  redoing  buttons    sleeves looked     proportion   tigh",0,6,1,1,2,2,2,2,2,2
"36"," colors werent   expected   dark blue    vibrant    couldnt find       fabric  thick  good quality  nice weight  movement    skirt  wasnt     end",0,3,1,1,2,3,2,2,1,2
"37","    goodhyouman shirts      compliments        forehead kisses  underrated dont hesitate buy  shirt  wont  ",0,1,0,0,0,0,0,0,0,0
"38"," sweater   comfy  classic   balances  quirky handknit    beautiful color  practical fit    bit cropped  boxy  part   style    mentioned   gaps   knit  make  seethrough   opinion  makes  perfect  layering     longer camisole showing underneath  wearing     dress  warm   thin   fit   jacket  coat",0,1,0,0,2,0,0,1,0,3
"39","      pants    online  person    cuter  stripes  brighter   fit  flattering  crop   cute flare     trend  brand   run small       lbs  carry  chubbiness   belly  paired    collarless loose navy blazer",0,0,0,0,1,0,0,0,1,3
"40"," pants     person   downside       dry cleaned",0,0,0,0,0,0,0,0,0,0
